City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,west island,-12.1568,96.8225,26.99,83,75,8.75,CC,1727792944
1,port hedland,-20.3167,118.5667,26.03,78,20,4.12,AU,1727792765
2,lebu,-37.6167,-73.65,9.51,57,35,5.7,CL,1727792947
3,ancud,-41.8697,-73.8203,6.44,65,39,1.01,CL,1727792948
4,aripuana,-9.1667,-60.6333,34.59,43,66,0.89,BR,1727792949
5,puerto ayora,-0.7393,-90.3518,21.98,97,99,1.79,EC,1727792950
6,puerto natales,-51.7236,-72.4875,3.25,100,100,5.66,CL,1727792952
7,hadibu,12.65,54.0333,26.76,77,23,0.46,YE,1727792953
8,jamestown,42.097,-79.2353,19.77,82,100,3.58,US,1727792954
9,saldanha,-33.0117,17.9442,14.11,65,13,8.67,ZA,1727792955
10,haiku-pauwela,20.9219,-156.3051,25.02,77,40,3.6,US,1727792957
11,iqaluit,63.7506,-68.5145,5.85,81,75,9.77,CA,1727792958
12,punta arenas,-53.15,-70.9167,2.06,55,75,4.63,CL,1727792959
13,wailua homesteads,22.0669,-159.378,22.64,89,24,4.13,US,1727792960
14,ulladulla,-35.35,150.4667,14.36,78,96,0.4,AU,1727792962
15,constantia,44.1833,28.65,13.38,72,100,11.84,RO,1727792963
16,itarantim,-15.6597,-40.0656,26.84,54,72,3.29,BR,1727792964
17,ranot,7.7777,100.3213,28.22,76,100,4.59,TH,1727792965
18,zalingei,12.9096,23.4741,27.06,57,92,5.97,SD,1727792966
19,ushuaia,-54.8,-68.3,-1.19,55,75,5.66,AR,1727792968
20,puyang chengguanzhen,35.7028,115.0053,13.18,41,0,5.0,CN,1727792913
21,queenstown,-31.8976,26.8753,15.03,25,0,4.02,ZA,1727792970
22,igarka,67.4667,86.5833,1.76,92,87,4.25,RU,1727792971
23,nova vicosa,-17.8919,-39.3719,26.3,64,14,5.15,BR,1727792973
24,piui,-20.4653,-45.9581,30.29,29,0,3.77,BR,1727792974
25,blackmans bay,-43.0167,147.3167,7.07,75,17,2.48,AU,1727792975
26,berezovyy,51.6667,135.7,1.75,77,5,2.51,RU,1727792976
27,port mathurin,-19.6833,63.4167,22.37,86,1,9.52,MU,1727792978
28,adamstown,-25.066,-130.1015,18.82,71,14,5.97,PN,1727792979
29,port-aux-francais,-49.35,70.2167,4.56,84,100,11.63,TF,1727792980
30,zakharivka,47.3333,29.75,21.5,33,100,7.16,UA,1727792981
31,grytviken,-54.2811,-36.5092,-4.43,68,54,9.12,GS,1727792983
32,ilulissat,69.2167,-51.1,4.01,87,75,1.54,GL,1727792984
33,lihue,21.9789,-159.3672,22.98,89,26,4.28,US,1727792985
34,uzgen,40.7699,73.3007,15.16,35,57,1.18,KG,1727792987
35,cuyo,10.8525,121.0086,29.11,72,100,0.88,PH,1727792988
36,savoy,45.5,6.4167,8.54,62,100,1.15,FR,1727792989
37,st. john's,47.5649,-52.7093,12.21,96,100,10.73,CA,1727792991
38,hermanus,-34.4187,19.2345,14.89,65,53,5.1,ZA,1727792992
39,albany,42.6001,-73.9662,18.75,78,100,1.79,US,1727792993
40,whitehorse,60.7161,-135.0538,2.12,87,100,1.03,CA,1727792994
41,atafu village,-8.5421,-172.5159,27.57,74,100,2.31,TK,1727792996
42,arteche,12.2645,125.4048,26.99,85,100,2.76,PH,1727792997
43,petropavlovsk-kamchatsky,53.0452,158.6483,12.33,88,75,2.0,RU,1727792809
44,bethel,41.3712,-73.414,18.2,77,0,3.09,US,1727792999
45,papatowai,-46.5619,169.4708,10.34,78,100,2.42,NZ,1727793000
46,margaret river,-33.95,115.0667,15.5,75,62,9.06,AU,1727793002
47,waitangi,-43.9535,-176.5597,11.01,88,16,1.34,NZ,1727793004
48,kunashak,55.7032,61.5498,13.29,60,31,4.11,RU,1727793006
49,zouerate,22.7187,-12.4521,36.2,17,97,5.28,MR,1727793007
50,drayton valley,53.2168,-114.9854,5.26,92,100,3.84,CA,1727793008
51,new plymouth,-39.0667,174.0833,13.78,100,100,6.82,NZ,1727793006
52,la sarre,48.8002,-79.1996,17.67,72,85,6.77,CA,1727793011
53,nar'yan-mar,67.6713,53.087,4.3,76,19,5.96,RU,1727793012
54,sitka,57.0531,-135.33,9.94,76,100,6.69,US,1727793013
55,kavaratti,10.5669,72.642,27.91,78,99,2.43,IN,1727793015
56,lewiston orchards,46.3804,-116.9754,9.35,61,0,2.57,US,1727793016
57,taraz,42.9,71.3667,18.23,36,40,0.0,KZ,1727793017
58,invercargill,-46.4,168.35,10.57,85,100,0.89,NZ,1727793007
59,butajira,8.1167,38.3667,17.91,78,79,1.56,ET,1727793020
60,nagqu,31.5,92.0,5.23,83,100,6.42,CN,1727793021
61,thompson,55.7435,-97.8558,3.09,100,75,5.14,CA,1727793022
62,manokwari,-0.8667,134.0833,26.09,81,100,1.49,ID,1727793023
63,jabat,7.75,168.9751,29.1,74,94,7.09,MH,1727793024
64,dudinka,69.4058,86.1778,2.1,91,99,3.35,RU,1727793026
65,wynyard,-41.0,145.7167,5.66,83,0,3.46,AU,1727793027
66,portland,45.5234,-122.6762,12.96,76,20,1.54,US,1727792670
67,olonkinbyen,70.9221,-8.7187,0.02,66,100,2.81,SJ,1727793029
68,subaykhan,34.8544,40.6083,30.79,27,0,2.77,SY,1727793031
69,ongjin,37.9347,125.3619,14.32,57,41,4.8,KP,1727792952
70,kuanda,56.3161,116.0806,1.9,78,71,0.8,RU,1727793033
71,talnakh,69.4865,88.3972,1.65,97,98,1.33,RU,1727793034
72,fort st. john,56.2499,-120.8529,1.94,100,75,2.06,CA,1727793036
73,arraial do cabo,-22.9661,-42.0278,30.92,45,0,10.29,BR,1727793037
74,nemuro,43.3236,145.575,16.43,98,14,4.13,JP,1727793020
75,khandyga,62.6667,135.6,0.23,99,100,0.67,RU,1727793039
76,ust'-ilimsk,58.0006,102.6619,8.77,93,100,6.54,RU,1727793041
77,sovetskaya gavan',48.9723,140.2878,8.25,78,100,1.03,RU,1727793042
78,yellowknife,62.456,-114.3525,2.45,99,75,5.66,CA,1727793043
79,yemetsk,63.4721,41.7941,4.46,61,6,2.28,RU,1727793044
80,georgetown,5.4112,100.3354,28.96,86,20,1.54,MY,1727792985
81,bafoulabe,13.8065,-10.8321,31.68,59,100,1.92,ML,1727793047
82,anadyr,64.75,177.4833,5.28,86,75,5.81,RU,1727793048
83,chibougamau,49.9168,-74.3659,15.27,60,0,5.99,CA,1727793049
84,dhidhdhoo,6.8833,73.1,28.18,76,100,1.89,MV,1727793050
85,tura,25.5198,90.2201,24.0,94,30,0.85,IN,1727793052
86,codrington,-38.2667,141.9667,8.61,92,75,1.97,AU,1727793053
87,talavera,15.6167,120.9333,24.14,95,100,1.44,PH,1727793054
88,crane,31.3974,-102.3501,24.31,33,0,5.94,US,1727793056
89,badger,64.8,-147.5333,0.0,80,20,2.57,US,1727793057
